min,sec,AscRate,Hgt/MSL,Pressure,Temp,RH,Dewp,Dir,Speed,
0,40,4.6,221,988.1,23.8,88,21.7,38,11.2,
0,50,4.6,266,983.0,24.9,82,21.6,36,10.6,
1,0,4.4,307,978.5,26.0,75,21.2,33,9.9,
1,10,4.2,346,974.2,27.0,66,20.1,30,9.2,
1,20,4.1,389,969.4,27.3,66,20.4,27,8.5,
1,30,4.1,430,964.9,27.0,67,20.4,23,7.8,
1,40,4.2,471,960.5,26.7,68,20.3,20,7.3,
1,50,4.0,508,956.5,26.5,68,20.1,17,7.0,
2,0,3.8,545,952.5,26.2,68,19.9,13,6.9,
2,10,3.9,588,947.9,25.9,66,19.1,9,7.0,
2,20,4.1,631,943.3,25.5,67,18.9,5,7.7,
2,30,4.4,676,938.5,25.2,67,18.7,1,8.0,
2,40,4.5,722,933.7,25.0,67,18.5,35,8.5,
2,50,4.5,767,928.9,24.7,67,18.2,35,8.8,
3,0,4.5,810,924.4,24.5,65,17.5,35,9.1,
3,10,4.0,842,921.0,24.4,63,16.9,35,9.3,
3,20,3.7,878,917.2,24.1,64,16.9,35,9.4,
3,30,3.5,915,913.4,23.7,66,17.0,35,9.2,
3,40,3.6,949,909.8,23.4,68,17.2,35,9.0,
3,50,3.5,983,906.3,23.2,68,17.0,35,9.1,
4,0,3.4,1017,902.7,23.1,68,16.9,35,9.1,
4,10,3.4,1051,899.2,23.1,67,16.7,35,9.0,
4,20,3.6,1090,895.3,23.0,68,16.8,37,8.7,
4,30,3.8,1130,891.1,22.7,69,16.7,38,8.2,
4,40,4.1,1173,886.8,22.2,70,16.5,39,7.7,
4,50,4.2,1215,882.5,21.9,72,16.6,39,7.4,
5,0,4.4,1262,877.7,21.4,73,16.4,2,7.3,
5,30,4.0,1381,865.8,20.2,80,16.7,11,6.9,
6,0,3.8,1495,854.5,19.2,85,16.6,21,7.3,
6,30,3.5,1600,844.1,19.3,76,15.0,33,7.5,
7,0,3.1,1693,835.1,18.5,79,14.8,40,7.3,
7,30,3.3,1791,825.6,17.8,81,14.5,42,6.6,
8,0,3.4,1892,815.9,17.0,82,13.9,45,6.1,
8,30,3.1,1986,807.0,16.4,79,12.8,46,5.6,
9,0,3.2,2083,797.8,15.8,76,11.6,44,5.4,
9,30,3.3,2183,788.5,15.1,79,11.5,47,5.0,
10,0,3.2,2278,779.7,15.4,51,5.3,58,4.2,
